评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,回复@只说实话_73861:拿出证据来，还胡说八道，我看是你在胡说八道吧,0,2020-08-26 20:17 
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,回复@只说实话_73861:你是怎么从这句话中看出打人是在协议后的,0,2020-08-26 20:16 
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,回复@只说实话_73861:情急之下，揣一脚，你还能控制好力度，两处骨折就叫残废？,0,2020-08-26 20:15 
https://weibo.cn//u/2164623027,歲月靜好-20110605,女,其他,700,75,77,东方今报，因为这件事情我关注你了,0,2020-08-26 20:14 
https://weibo.cn//u/7062766730,只说实话_73861,男,上海,13,288,177,回复@风流寰宇:陕西反杀案庭审结束当天晚上，其他律师给被告律师的留言：“没想到你会胡说八道”。整个庭审我都看了，被告律师全部造谣。,0,2020-08-26 20:10 
https://weibo.cn//u/2102759285,酸奶里的蒸汽机,女,海外,314,709,275,为众人抱薪者，不可使其冻毙于风雪,1,2020-08-26 20:09 
https://weibo.cn//u/7062766730,只说实话_73861,男,上海,13,288,177,回复@风流寰宇:你这明显的错误，现实情况的扭曲，还有人说，先打人，后去派出所呢。但男孩父亲的原话是：早知如此，当时就应该答应协议，说明打人是在协议之后。其他的都是造谣。,0,2020-08-26 20:07 
https://weibo.cn//u/5391606169,风光狗9527,男,浙江,247,204,762,如果没有微博这个平台，不寒而栗,0,2020-08-26 20:05 
https://weibo.cn//u/7062766730,只说实话_73861,男,上海,13,288,177,回复@风流寰宇:你猥亵了我女朋友，我就要把你打残废吗？,0,2020-08-26 20:05 
https://weibo.cn//u/3177526173,不用审了,男,北京,0,196,34,回复@RebelHeart丶:作案中踹一脚直接就是正当防卫了,0,2020-08-26 20:03 
https://weibo.cn//u/3186668844,RebelHeart丶,女,其他,64,50,40,回复@不用审了:行吧，那我就理解成他是追上去踹了一脚，而不是在作案过程中踹了一脚，所以不算见义勇为。,0,2020-08-26 20:02 
https://weibo.cn//u/3186668844,RebelHeart丶,女,其他,64,50,40,回复@不用审了:法律上并没有规定见义勇为必须是陌生人才算吧，为了保护女朋友而与罪犯作斗争不也是维护了他人的权利吗？,0,2020-08-26 20:01 
https://weibo.cn//u/6070432537,琴瑟如声月微暗,女,其他,20,136,31,谢谢你的坚持,0,2020-08-26 19:59 
https://weibo.cn//u/3177526173,不用审了,男,北京,0,196,34,回复@RebelHeart丶:你就用常识判断一下，男朋友追上踹一脚是为了啥，反正换作我，就是为了解气。陌生人那一般就是为了见义勇为，没啥别的原因,0,2020-08-26 19:59 
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,回复@只说实话_73861:你不会就是那个雷某吧，还搁这洗呢,0,2020-08-26 19:57 
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,回复@只说实话_73861:你们家粉碎性骨折还能自己回家，并且还是几天后才去医院检查,0,2020-08-26 19:56 
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,回复@只说实话_73861:我猥亵了你女朋友，看看你能不能心平气和的这么说,0,2020-08-26 19:55 
https://weibo.cn//u/3186668844,RebelHeart丶,女,其他,64,50,40,回复@不用审了:因为两人是陌生人，没有利害关系，所以可以通过判断其主观动机来确认见义勇为，当两人有了利害关系，就可以借此关系判断其动机是报复对吗？但是动机这种东西很难判断的啊。（非杠，只是不懂）,0,2020-08-26 19:55 
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,回复@风流寰宇:难道以后有人猥亵你，你还不能反抗，否则就是故意伤人，还得倒贴二十万,0,2020-08-26 19:54 
https://weibo.cn//u/6643888667,风流寰宇,男,河北,3,122,23,冷水滩的警察就是一群nt，这种人不处理留着过年吗，粉碎性骨折还能自己回家就离谱，这群nt还信了,1,2020-08-26 19:52 
https://weibo.cn//u/2534908552,一只小兔rabbit,女,江苏,1862,509,309,回复@衾梦烟:之前唐慧案就是这个地方发生的，一群人强奸幼女报案不给立案，JC说是幼女在卖淫。舆论发酵后涉案人员被判了刑，冷水滩分局帮强奸幼女的犯人伪造“立功材料”，帮助他们减刑。女孩妈妈上访被判劳教。,6,2020-08-26 19:47 
https://weibo.cn//u/7062766730,只说实话_73861,男,上海,13,288,177,回复@只说实话_73861:本案明显是故意伤害罪，假如的确是两处骨折，那么就可以肯定的说，男孩的目的就是泄愤，就是要至对方受伤，否则不会下脚那么重。同时说明，男孩法律意识的单薄，但不能成为逃避法律的理由。媒体为什么要说谎呢？就是要激起民愤，为翻案不择手段。,0,2020-08-26 19:46 
https://weibo.cn//u/3177526173,不用审了,男,北京,0,196,34,回复@RebelHeart丶:主观上是不一样的，陌生人属于见义勇为，主观上对结果是过失的，过失对轻伤不负刑责。但是男朋友出手多少有报复的情感，那主观就是故意，是构成故意伤害的,0,2020-08-26 19:46 
